ALB ,BSG 
TF ,HSP90B1 
TF ,OR3A2 
ITGB1 ,RYR2 
APOC1 ,SCARB1 
SERPINA1 ,C1QBP 
EL52 ,L1CAM 
ALB ,CALR 
ANXA1 ,LGALS3BP 
TF ,RYR2 
APOE ,ANXA5 
ALB ,DPP7 
VTN ,PPT1 
APOC3 ,M6PR 
ITGB5 ,SLC1A5 
EL52 ,HMGB1 
TF ,ITGB1
ANXA2 ,HSPA13 
ANXA5 ,ANXA5 
TF ,ALB 
P4HB ,RYR2 
LTF ,PPT1 
ITGB5 ,SIAE 
CD36 ,C1QBP 
APOC3 ,C1QBP 
HEL111 ,C1QBP 
ITGB1 ,SDF4 
ALB ,ITGA5 
TOR1A ,BSG 
ANXA1 ,HSPA13 
TF ,ITGA3 
APOC3 ,LGALS3BP 
CLU ,DCD 
TF ,ERP44 
SERPING1 ,CLU 
ALB ,ITGAV 
HSP90B1 ,C1QBP 
TF ,SLC1A5 
ITGB5 ,PKM 
CFD ,CLU 
FGA ,PPT1 
APOC3 ,ATP1B3 
APOC1 ,LGALS3BP 
HP ,DCD 
ITGB5 ,BTD 
APOA2 ,ANXA2 
LTF ,BSG 
ITGA5 ,ITGB4 
ITGB5 ,HMGB2 
LTF ,DCD 
FGA ,C1QBP 
A2M ,ANXA5 
TF ,PRDX5 
FGA ,HYOU1 
APOE ,ATP1B3 
EL52 ,ITGB1
ITGB5 ,HMGB1 
ITGB1 ,ALB 
VTN ,DCD 
PKM ,HSPA13 
CFD ,BSG 
PKM ,PKM 
VTN ,CLU 
APOC3 ,DPP7 
A2M ,SDF4 
EGFR ,HSPA13 
APOC1 ,BTD 
ANXA1 ,PPT1 
APOA2 ,C1QBP 
ITGB5 ,FOLR1 
HEL111 ,BSG 
APOE ,LGALS3BP 
ITGB3 ,P3H1 
CFD ,C1QBP 
RPSA ,DCD 
EL52 ,F2 
CLU ,CLU 
APOC1 ,SDF2 
APOA2 ,PPT1 
SERPING1 ,PPT1 
P4HB ,HMGB1 
ITGAV ,ITIH1 
ITGB5 ,THBS1 
EGFR ,BSG 
F2 ,P3H1 
CFB ,LGALS3BP 
APOA2 ,LGALS3BP 
TOR1A ,PPT1 
CALR ,PPT1 
P4HB ,HMGB2 
APOC1 ,HYOU1 
EL52 ,ITGA4 
CP ,HYOU1 
ITGAV ,SDF2L1 
HP ,BSG 
ANXA2 ,CTSL 
APOC1 ,SIAE 
HP ,HYOU1 
F2 ,HYOU1 
A2M ,PRSS3 
CFD ,ANXA5 
LAMC1 ,ITIH1 
ITGB5 ,LGALS1 
APOC1 ,SDF4 
LAMC1 ,LAMC1 
ANXA2 ,CALU 
ITGB3 ,PPT1 
ALB ,NAXE 
TF ,SCARB1 
ITGAV ,SDF4 
TF ,HMGB1 
NR3C1 ,BSG 
LAMA5 ,C1QBP 
ITGB1 ,KLK3 
ITGB5 ,PRDX5 
LTF ,CLU 
EL52 ,CTSL 
ITGAV ,CALR 
P4HB ,ERP44 
TFRC ,TFRC 
CP ,SDF4 
APOA2 ,CD44 
ITGB5 ,ITGA3 
ITGA4 ,P3H1 
ITGB3 ,BSG 
ITGA4 ,HMGB1 
ANXA5 ,ANXA2 
APOC3 ,SIAE 
P4HB ,M6PR 
LAMC1 ,ITGAV 
HP ,ANXA2 
FGA ,HSPA13 
LAMC1 ,THBS1 
ITGA5 ,ITGB4
ITGAV ,ITGB4 
ANXA2 ,RYR2 
APOC1 ,C1QBP 
CLU ,C1QBP 
ITGB5 ,SCARB1 
HP ,P3H1 
TF ,FOLR1 
ITGB5 ,SAA4 
PSAP ,ALB 
HP ,PPT1 
RPSA ,ANXA2 
TF ,ANXA5 
EL52 ,PSAP 
APOE ,BSG 
APOE ,PRSS3 
EL52 ,TGM4 
APOA2 ,CLU 
APOE ,F7 
EL52 ,SERPIND1 
ANXA2 ,APOA1 
TFRC ,SDF2L1 
ALB ,SCARB1 
P4HB ,ALB 
ITGA4 ,BSG 
EGFR ,ITGB4
ANXA2 ,P4HB 
KRT1 ,ANXA5 
P4HB ,DPP7 
P4HB ,CTSL 
PKM ,ANXA2 
TF ,BTD 
A2M ,PKM 
ITGA5 ,ITGA11 
PSAP ,C1QBP 
APOE ,DPP7 
ALDOA ,ITIH1 
ALB ,IGF2R 
APOE ,HSPA13 
ALDOA ,DPP7 
LAMC1 ,ITGB1 
CFD ,ANXA2 
APOE ,P3H1 
P4HB ,ATP1B3 
P4HB ,PRSS3 
EGFR ,ITIH1 
ALB ,HMGB2 
P4HB ,KRT1 
ITGB5 ,PAPPA 
ITGB5 ,F7 
ALB ,ITGA3 
CFB ,PPT1 
ITGB3 ,ITGA3 
TF ,PF4V1 
ITGA4 ,DPP7 
F2 ,DCD 
KRT1 ,SDF4 
ALDOA ,HSPA13 
KRT1 ,DPP7 
ITGB5 ,SAR1A 
APOA2 ,ATP1B3 
ITGA4 ,TREML2 
ALB ,SMPDL3A 
ITGB5 ,ITGB4
CALU ,APOA1 
HEL111 ,ATP1B3 
APOC1 ,TSPEAR 
APOC1 ,HSPA13 
APOA2 ,SIAE 
ITGA4 ,DCD 
ALDOA ,CTSL 
PIGR ,ITIH1 
KRT1 ,BSG 
NR3C1 ,C1QBP 
HP ,LGALS3BP 
ITGA4 ,ATP1B3 
VTN ,HSPA13 
CFD ,PKM 
ITGB5 ,ALDOA 
P4HB ,ITGB1 
TF ,PCYOX1 
ITGB1 ,ADAM15
APOC3 ,PKM 
APOC1 ,HSD17B12 
ITGAV ,ITGB4
TF ,ITGB4 
CFD ,SDF2L1 
SERPING1 ,ANXA2 
ALDOA ,ITGB1
ANXA5 ,HMGB2 
ALB ,HMGB1 
HP ,ITIH1 
CFD ,P3H1 
CALU ,P3H1 
ALB ,CD276 
ITGB1 ,RYR1
CALU ,PPT1 
P4HB ,TREML2 
EL52 ,LGALS1 
ITGAV ,ITGAV 
ITGB1 ,FLT4
ALDOA ,M6PR 
LTF ,KLK3 
ITGAV ,ITGA11 
EL52 ,PAPPA 
ITGAV ,DCD 
ITGB3 ,ITIH1 
EL52 ,ACVR2B 
ITGAV ,PKM
ITGB1 ,F2 
F2 ,RYR2 
TFRC ,ITGB4
P4HB ,SCARB1 
LTF ,SDF2L1 
PKM ,ANXA5 
ALB ,PSAP 
CP ,ITIH1 
EL52 ,AP2M1
TFRC ,PRSS3 
ANXA2 ,ITIH1 
KRT1 ,M6PR 
PSAP ,ITIH1 
EGFR ,P3H1 
PKM ,ALB 
LAMC1 ,PAPPA 
ITGA5 ,CALR 
TF ,SIAE 
ITGA4 ,M6PR 
FGA ,BSG 
KRT1 ,SIAE 
CP ,DPP7 
FOLR1 ,CLU 
VTN ,P3H1 
CLU ,SLC1A5
LTF ,M6PR 
APOE ,HSP90B1 
CP ,C1QBP 
EGFR ,ATP1B3 
ITGB1 ,CTSL 
ITGB3 ,CALR 
EL52 ,GUSB 
TFRC ,DCD 
ITGAV ,OR3A2 
ITGB1 ,ANXA1 
P4HB ,ITIH1 
ITGA4 ,CLU 
ITGAV ,ITGB1 
APOC3 ,HSP90B1 
ANXA2 ,ITGA2 
TF ,NAXE 
KRT1 ,HYOU1 
CP ,ATP1B3 
ANXA2 ,ERP44 
PSAP ,SDF4 
ANXA2 ,SDF2 
FOLR1 ,C1QBP 
APOE ,M6PR 
APOA2 ,M6PR 
M6PR ,DCD 
APOA2 ,HSPA13 
A2M ,CTSL 
ITGA5 ,ITGAV 
CD36 ,ITIH1 
F2 ,CLU 
ANXA1 ,ATP1B3 
CLU ,SDF2 
ITGAV ,PRSS3 
ITGB1 ,RYR1 
ANXA1 ,APOA1 
ITGB1 ,F7 
TOR1A ,ATP1B3 
ITGAV ,TFRC 
ALB ,FOLR1 
CST3 ,PPT1 
CP ,M6PR 
TF ,RYR1
ALB ,HSD17B12 
KRT1 ,LGALS3BP 
LAMB1 ,HYOU1 
ALB ,PCYOX1 
APOC3 ,PRDX5 
APOC3 ,NAXE 
HP ,HSPA13 
EL52 ,SIAE 
CALU ,LGALS3BP 
EGFR ,PKM
APOA2 ,SCARB1 
APOC3 ,HYOU1 
APOC1 ,ALDOA 
ITGAV ,HSP90B1 
APOC1 ,ITGB1 
EL52 ,FGA 
TF ,PKM
ALB ,SDF2L1 
PKM ,ERP44 
TF ,MYDGF 
ANXA2 ,CD44 
ALB ,ITGB4 
APOC1 ,PKM
PLXNB2 ,C1QBP 
CST3 ,BSG 
APOE ,APOA1 
TF ,TREML2 
CTSD ,SDF4 
ITGB3 ,C1QBP 
CNMD ,HYOU1 
ITGB1 ,TFRC 
ANXA5 ,ALB 
TFRC ,ITGA11 
SERPING1 ,LGALS3BP 
SERPINA1 ,ANXA2 
APOA2 ,SDF4 
APOC3 ,P3H1 
APOC3 ,SAR1A 
GUSB ,DCD 
ALB ,ITGA4 
CTSD ,DCD 
LAMC1 ,ITGA2 
EL52 ,SAR1A 
ALB ,S100A7 
FGA ,LGALS3BP 
APOE ,SCARB1 
ALB ,CTSD 
RPSA ,CLU 
PKM ,ITIH1 
EL52 ,PIGR 
EL52 ,RYR2 
APOA2 ,BTD 
CALR ,C1QBP 
PSAP ,SLC1A5 
CP ,P3H1 
TF ,IGF2R 
GSN ,HYOU1 
SERPINA1 ,SDF4 
NR3C1 ,PPT1 
APOC3 ,CD276 
ITGB3 ,CD44 
CLU ,OR2T6 
ITGB1 ,ITGB1
ANXA2 ,ATP1B3 
TOR1A ,ALB 
ITGB5 ,ANXA1 
TFRC ,THBS1 
NR3C1 ,SDF4 
APOE ,PKM
APOC1 ,HSP90B1 
CLU ,KLK3 
PNP ,C1QBP 
P4HB ,SLC1A5
NR3C1 ,DCD 
FGA ,PKM 
F2 ,ANXA2 
HP ,PKM 
P4HB ,CALU 
CST3 ,SDF2L1 
APOE ,ITGA11 
ITGB5 ,PSAP 
ITGB1 ,ERP44 
APOC1 ,M6PR 
HP ,SDF4 
ITGB5 ,HSP90B1 
EL52 ,PRSS3 
EL52 ,SDF2 
ITGA5 ,PSAP 
VTN ,PF4V1 
A2M ,ALB 
CFB ,BSG 
APOE ,CALR 
ITGA5 ,ITGB1 
ITGB5 ,LAMC1 
LTF ,TREML2 
VTN ,ANXA2 
ITGB2 ,BSG 
APOC1 ,PRDX5 
ALDOA ,ATP1B3 
ITGB5 ,GUSB 
TF ,OR8D2 
P4HB ,OR3A2 
ITGB5 ,TACSTD2 
APOA2 ,TSPEAR 
PSAP ,ANXA2 
TFRC ,ITGA6
CFB ,P3H1 
PNP ,SDF4 
TF ,HMGB2 
APOA2 ,DPP7 
VTN ,CALR 
EGFR ,CLU 
PSAP ,DCD 
ANXA5 ,DPP7 
CTSL ,HYOU1 
A2M ,ITIH1 
CD36 ,CALR 
ITGB5 ,L1CAM 
TF ,ITGAV 
CFD ,SDF4 
ANXA1 ,SLC1A5 
FN1 ,RYR1
CP ,LGALS3BP 
ITGB5 ,ERP44 
SERPINA1 ,HMGB1 
ITGA5 ,HSP90B1 
ITGB5 ,PCYOX1 
ITGB1 ,KRT1 
CALU ,ATP1B3 
APOA2 ,TREML2 
TOR1A ,C1QBP 
P4HB ,TSPEAR 
KRT1 ,ALDOA 
PSAP ,ANXA5 
FGA ,SDF2L1 
ALB ,GUSB 
TFRC ,CTSL 
VTN ,SDF2 
LAMC1 ,PKM 
APOC3 ,ICAM4 
TF ,F2 
CLU ,OR3A2 
ALDOA ,RYR2 
ANXA1 ,ITIH1 
ALB ,APOA1 
APOE ,SAA4 
F2 ,HSP90B1 
ITGAV ,SLC1A5 
FGA ,L1CAM 
APOC1 ,CTSD 
TF ,B2M 
ITGB5 ,P4HB 
SERPINA1 ,CALR 
ITGB1 ,ITGB3 
ITGA4 ,TSPEAR 
A2M ,SAR1A 
ALB ,PKM
ANXA1 ,SDF2 
HP ,ATP1B3 
ITGB1 ,PIGR 
CFD ,ATP1B3 
SERPING1 ,SDF4 
A2M ,ANXA2 
PKM ,CTSL 
RPSA ,ANXA5 
APOA2 ,ANXA5 
APOC3 ,BTD 
ITGB1 ,FN1 
FGA ,SIAE 
GUSB ,SLC1A5 
GSN ,BSG 
EGFR ,ANXA5 
ALDOA ,PRSS3 
VTN ,ATP1B3 
GPC4 ,CLU 
SERPING1 ,ATP1B3 
SERPINA1 ,ITIH1 
APOC1 ,PCYOX1 
APOC3 ,TREML2 
VTN ,M6PR 
ITGB2 ,PPT1 
PKM ,M6PR 
EL52 ,HSP90AA1
ITGB5 ,B2M 
TFRC ,ITGB1
APOC3 ,PRDX4 
TF ,ICAM4 
VTN ,TSPEAR 
SERPINA1 ,SLC1A5 
CLU ,SDF4 
APOC1 ,CD276 
ITGA5 ,DCD 
CP ,TREML2 
ITGB1 ,ADAM9
CFD ,HSPA13 
APOA2 ,HYOU1 
CFB ,DPP7 
PIGR ,SDF4 
ITGB5 ,TFRC 
ITGB5 ,COL5A1 
GUSB ,SDF4 
APOC3 ,PSAP 
TF ,PSAP 
F2 ,BSG 
ITGB3 ,HSPG2 
ANXA5 ,APOA1 
ITGB3 ,SDF4 
CTSD ,C1QBP 
APOC3 ,CALR 
CFD ,DPP7 
ITGA5 ,F7 
APOC3 ,SDF2 
CFD ,M6PR 
CTSL ,PPT1 
TFRC ,OR3A2 
LAMC1 ,GUSB 
ANXA2 ,DPP7 
EL52 ,LAMC1 
SERPING1 ,P3H1 
CP ,CD44 
LAMC1 ,CLU 
ITGA5 ,THBS1 
CTSD ,CTSL 
APOE ,CD44 
HEL111 ,LGALS3BP 
APOC3 ,ANXA1 
ANXA2 ,KRT1 
ALB ,EFNB1 
CFD ,SLC1A5 
RPSA ,LGALS3BP 
P4HB ,SIAE 
FOLR1 ,OR8D2 
GSN ,PPT1 
KRT1 ,SDF2L1 
HP ,DPP7 
ITGB2 ,P3H1 
F2 ,LGALS3BP 
PLXNB2 ,ITIH1 
EL52 ,CD276 
APOA2 ,TGM4 
APOA2 ,PKM 
APOC3 ,SAA4 
PKM ,DPP7 
ITGB1 ,SLC1A5 
ITGA5 ,SDF4 
APOC3 ,P4HB 
APOC3 ,ITGB1 
ITGB3 ,ATP1B3 
TF ,APOA2 
LAMC1 ,ITGA5 
TF ,CTSD 
GUSB ,ALB 
ITGB5 ,NAXE 
PSAP ,OR3A2 
FGA ,M6PR 
FGA ,ITGA3 
ITGA5 ,ICAM4 
LAMC1 ,TFRC 
KRT1 ,TSPEAR 
ANXA2 ,PKM
KRT1 ,TFRC 
APOC1 ,NAXE 
FN1 ,HYOU1 
APOC3 ,HMGB1 
GUSB ,SDF2L1 
PKM ,SDF2 
CFD ,LGALS3BP 
ITGA4 ,ANXA5 
LTF ,OR3A2 
APOA2 ,ICAM4 
PIGR ,SDF2 
ALB ,ANXA5 
ITGA5 ,ANXA2 
VTN ,PKM 
PIGR ,DCD 
TFRC ,PKM
ALB ,ACVR2B 
TF ,SAR1A 
FOLR1 ,OR3A2 
TF ,P4HB 
APOA2 ,ITGB1 
SERPING1 ,PKM 
HP ,HSP90B1 
ITGAV ,ITGA2 
HP ,ANXA5 
ANXA1 ,PF4V1 
CLU ,F7 
EL52 ,CFB 
ITGAV ,ANXA5 
P4HB ,THBS1 
A2M ,AHSG 
ITGAV ,PAPPA 
F2 ,PPT1 
ITGB3 ,HSP90B1 
CP ,HSPA13 
ITGB2 ,C1QBP 
ITGB3 ,ITGA11 
SERPING1 ,SDF2 
APOE ,SIAE 
ITGB5 ,IGF2R 
SERPING1 ,HSPA13 
A2M ,ITGB1
ALB ,CFB 
ITGA5 ,CTSL 
PSAP ,CALR 
ITGB5 ,TGM4 
ITGB5 ,HSPG2 
VTN ,TREML2 
APOC3 ,HMGB2 
ITGB3 ,SIAE 
APOE ,SAR1A 
ANXA5 ,P4HB 
SERPING1 ,F7 
ALB ,YARS1 
LTF ,SDF2 
EGFR ,SDF4 
ALB ,TREML2 
ITGB5 ,CCN3 
ITGB1 ,TGM4 
ITGB5 ,S100A8 
A2M ,DCD 
ALB ,ITGB4
PSAP ,ADRA1B 
A2M ,HSP90B1 
SERPIND1 ,C1QBP 
TF ,ALDOA 
SERPING1 ,TSPEAR 
ANXA1 ,THBS1 
TF ,ANXA1 
ALDOA ,CD276 
APOC3 ,CTSD 
PKM ,OR3A2 
TF ,ITGB4
KRT1 ,CD44 
APOC3 ,LGALS1 
P4HB ,P4HB 
A2M ,THBS1 
FOLR1 ,DCD 
LAMC1 ,ANXA5 
ANXA2 ,ANXA1 
FGA ,TSPEAR 
PKM ,ATP1B3 
EL52 ,F7 
APOC1 ,SAR1A 
A2M ,ANXA1 
APOC3 ,CD44 
P4HB ,ANXA1 
LAMC1 ,FGA 
HEL111 ,HYOU1 
PLXNB2 ,ALB 
TFRC ,PRDX4 
TF ,THBS1 
SERPING1 ,SDF2L1 
A2M ,SDF2L1 
FGA ,ITGAV 
SERPING1 ,BTD 
EGFR ,BTD 
F2 ,DPP7 
PIGR ,SLC1A5 
EGFR ,ALB 
FGA ,HSP90B1 
APOC1 ,ERP44 
CST3 ,HYOU1 
ITGA5 ,PAPPA 
CD36 ,SDF4 
SERPINA1 ,ANXA5 
CRTAP ,HSP90B1 
HEL111 ,M6PR 
EL52 ,OR3A2 
PIGR ,CTSL 
PIGR ,SDF2L1 
TF ,ITGA5 
EL52 ,ADRA1B 
ALB ,L1CAM 
ITGAV ,SDF2 
GUSB ,RYR2 
APOE ,P4HB 
ITGB3 ,CLU 
P4HB ,PF4V1 
ALDOA ,TSPEAR 
LTF ,PF4V1 
APOA2 ,HSP90B1 
ITGB5 ,MYDGF 
ITGB3 ,TREML2 
ITGAV ,ALB 
ANXA2 ,M6PR 
PSAP ,ITGAV 
EL52 ,TF 
ITGB5 ,PRDX4 
PKM ,PRSS3 
CLU ,SLC1A5 
ITGB5 ,ITGA2 
ITGB3 ,RYR2 
RPSA ,RYR2 
ITGB1 ,VCP 
ITGB1 ,AHSG 
ANXA5 ,ITGB1 
CP ,PKM 
F7,HYOU1 
LAMC1 ,ALB 
ALDOA ,ERP44 
CNMD,HYOU1 
ITGB5 ,IGFBP3 
ALB ,APOA2 
TF ,OR2T6 
TF ,STOML2 
LTF ,CTSL 
FGA ,DPP7 
EL52 ,FGFR1 
ITGB5 ,PKM
P4HB ,LGALS1 
SERPING1 ,M6PR 
VTN ,SAA4 
ITGAV ,CTSL 
ITGB3 ,COL5A1 
CP ,SDF2L1 
TF ,TFRC 
GSN ,ALB 
ANXA1 ,M6PR 
APOC3 ,RYR1 
GSN ,CLU 
ANXA1 ,ERP44 
CALU ,ITGB1
APOC3 ,EFNB1 
APOC1 ,PSAP 
ANXA2 ,SLC1A5 
EGFR ,C1QBP 
ANXA5 ,ITIH1 
KRT1 ,ITGA3 
EL52 ,AOAH 
PSAP ,RYR2 
CFD ,HSP90B1 
PNP ,HYOU1 
FOLR1 ,CTSL 
LAMA5 ,ITIH1 
ITGB3 ,LGALS3BP 
PKM ,PF4V1 
FGA ,BTD 
ALB ,ITGA6
TOR1A ,TSPEAR 
GSN ,PKM
HEL111 ,SLC1A5 
NR3C1 ,P3H1 
LAMC1 ,HSP90B1 
ANXA1 ,ANXA1 
ANXA5 ,KRT1 
APOC1 ,ITGA3 
APOE ,PRDX5 
TGFBR2 ,C1QBP 
ANXA2 ,SIAE 
CALU ,PKM
F2 ,HSPA13 
ITGA5 ,FN1 
VTN ,LGALS3BP 
FOLR1 ,SDF4 
APOC1 ,ANXA1 
FGA ,ITGA2 
ITGB1 ,DCD 
KRT1 ,BTD 
TFRC ,NAXE 
LTF ,LGALS3BP 
APOC1 ,CTSH 
TFRC ,CALU 
ALB ,S100A4 
F7 ,HYOU1 
TF ,HSD17B12 
RPSA ,DPP7 
ITGB5 ,ITGA11 
TF ,ADRA1B 
GSN ,C1QBP 
ANXA5 ,HSPA13 
LTF ,APOA2 
TF ,APOA1 
ITGB5 ,S100A7 
APOE ,RPSA 
SERPING1 ,ANXA5 
F2 ,SDF4 
TF ,ITGA2 
RPSA ,P3H1 
TFRC ,TGM4 
ITGA5 ,OR3A2 
P4HB ,CD276 
FGA ,TFRC 
ITGB5 ,STOML2 
TFRC ,VCP 
RPSA ,HSPA13 
HSP90B1 ,ANXA2 
ANXA2 ,PCYOX1 
ITGB1 ,STOML2 
HEL111 ,HSPA13 
ITGB1 ,SDF2L1 
LAMC1 ,HSPG2 
FGA ,TREML2 
KRT1 ,ITGB4 
FGA ,CD44 
ITGB5 ,FGA 
CTSD ,ITIH1 
A2M ,F7 
APOE ,BTD 
APOC3 ,SDF2L1 
CALU ,APOA2 
TGFBR2 ,PPT1 
KRT1 ,PSAP 
ALB ,PRDX4 
ITGB1 ,S100A8 
LTF ,ICAM4 
ANXA1 ,ITGB1
ITGB5 ,EFNB1 
CD44 ,ITIH1 
PLXNB2 ,HSP90B1 
ITGA4 ,LGALS3BP 
SERPINA1 ,PRSS3 
SERPING1 ,ITGB1 
GPC4 ,ANXA5 
CFD ,ICAM4 
EGFR ,M6PR 
ITGA5 ,AHSG 
FGA ,ITGB1 
HP ,TSPEAR 
CLU ,CTSL 
ANXA1 ,ITGA3 
SERPING1 ,TREML2 
APOE ,TGM4 
CRTAP ,CALR 
APOC3 ,RYR1
APOC3 ,ERP44 
PIGR ,KLK3 
PKM ,CALU 
ITGA5 ,PKM
LTF ,SDF4 
SERPING1 ,HYOU1 
TF ,LAMC1 
A2M ,PKM
CLU ,PF4V1 
EL52 ,RYR1
P4HB ,ITGB4
ANXA2 ,KLK3 
P4HB ,PCYOX1 
FGA ,ITGB4 
CTSL ,C1QBP 
ANXA1 ,PKM
HP ,OR3A2 
ITGB3 ,IGF2R 
EL52 ,RYR1 
PIGR ,PKM 
ESR1 ,BSG 
KRT1 ,L1CAM 
SERPING1 ,SIAE 
CP ,HSP90B1 
ANXA2 ,PRSS3 
CALU ,CALU 
ITGB1 ,ALDOA 
ALB ,P4HB 
LAMB1 ,ITGA3 
APOC1 ,TFRC 
ALDOA ,SIAE 
APOA2 ,ANXA1 
ANXA2 ,APOA2 
ITGA5 ,TFRC 
ANXA2 ,ITGB1 
ALB ,ANXA1 
TFRC ,PAPPA 
ITGA4 ,SLC1A5 
APOC1 ,S100A7 
RPSA ,PPT1 
HP ,THBS1 
P4HB ,S100A7 
VTN ,ITIH1 
SERPINA1 ,THBS1 
CALU ,M6PR 
CP ,OR3A2 
EL52 ,GABBR1 
RPSA ,ITIH1 
A2M ,NAXE 
ITGB1 ,OR3A2 
LTF ,ATP1B3 
VTN ,ANXA5 
ITGB3 ,DPP7 
KRT1 ,ANXA1 
EL52 ,SDF2L1 
FGA ,COL5A1 
IGF2R ,ITIH1 
TF ,PRDX4 
CFD ,PRDX5 
M6PR ,SLC1A5
VTN ,KLK3 
TFRC ,KLK3 
A2M ,ITGB4 
APOE ,ERP44 
FOLR1 ,ITIH1 
EGFR ,YARS1 
CTSL ,SDF4 
PSAP ,THBS1 
TOR1A ,CTSL 
CTSL ,BSG 
EL52 ,SCARB1 
FGA ,CD276 
PLXNB2 ,SDF4 
LAMA5 ,ITGA11 
LAMA5 ,HSP90B1 
ANXA2 ,PRDX5 
PSAP ,FN1 
TFRC ,ERP44 
FGA ,ERP44 
CP ,DCD 
LAMA5 ,ALB 
CFD ,SIAE 
APOA2 ,CTSD 
CTSD ,PF4V1 
ALB ,LGALS1 
CP ,TSPEAR 
EGFR ,P4HB 
SERPING1 ,PRSS3 
TGFBR2 ,TSPEAR 
RPSA ,ALB 
HP ,SLC1A5 
ITGB4 ,HYOU1 
M6PR ,OR3A2 
APOC1 ,P3H1 
ALDOA ,F7 
APOC3 ,FOLR1 
A2M ,HMGB1 
EGFR ,PPT1 
TF ,L1CAM 
ALDOA ,TGM4 
P4HB ,IGF2R 
LAMC1 ,CALR 
KRT1 ,GUSB 
ALB ,MYDGF 
APOA2 ,PAPPA 
CALU ,PRSS3 
CFD ,SDF2 
CLU ,ANXA5 
ITGAV ,ITGB1
